Map Sprite            Author

Supplier              N426
Soldier               Rexacuse, Peerless, Alusq
Cavalier              SALVAGED
Archer                DerTheVaporeon
Fighter               Alusq
WyvernKnight          IS, ArcaneEli, Blood, Yikes!, Huichelaar
Priest                flasuban
-HatlessMageM          Pikmin1211

Conjurer              TODO
Sergeant              Spud
Great Knight          Pikmin, L95, Der
HarbingerT2           Nuramon
DracoKnight           TODO
Summoner              IS

ConjurerT3            TODO
Marshall              Elibean Nights, L95, Pikmin, Der, Huichelaar
Gold Knight           Pikmin, Der
Marksman              ArcherBias
BowKnight             Der, Pikmin
Harbinger             TODO
HeroWarT3             TODO
BerserkerT3           TODO
Dread Fighter         Nuramon
Executioner           IS, Lexou, Huichelaar
RogueT3               TODO
FalcoKnT3             TODO
DracoLord             TODO
Dark Druid            IS
Necromancer           Huichelaar
ValkyrieT3            TODO
War Monk              Der, Author_Pendragon, TODO
SageT3                TODO
MageKnightT3          TODO

